step,observation,action,reward,done,total_reward
0,"You see:
- grass 1 steps to your west
- tree 7 steps to your north-east
- cow 6 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
1,"You took action move_west.

You see:
- grass 1 steps to your west
- tree 4 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
2,"You took action move_west.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Do,0.0,False,0.0
3,"You took action do.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
4,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
5,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
6,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,0.0
7,"You took action make_iron_sword.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Do,0.0,False,0.0
8,"You took action do.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
9,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
10,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
11,"You took action move_west.

You see:
- water 6 steps to your south-west
- grass 1 steps to your west
- sand 5 steps to your south-west
- tree 2 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
12,"You took action make_iron_pickaxe.

You see:
- water 6 steps to your south-west
- grass 1 steps to your west
- sand 5 steps to your south-west
- tree 2 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
13,"You took action make_iron_pickaxe.

You see:
- water 6 steps to your south-west
- grass 1 steps to your west
- sand 5 steps to your south-west
- tree 2 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
14,"You took action make_iron_pickaxe.

You see:
- water 6 steps to your south-west
- grass 1 steps to your west
- sand 5 steps to your south-west
- tree 2 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
15,"You took action move_west.

You see:
- water 4 steps to your west
- grass 1 steps to your west
- sand 4 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
16,"You took action make_iron_pickaxe.

You see:
- water 4 steps to your west
- grass 1 steps to your west
- sand 4 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
17,"You took action make_iron_pickaxe.

You see:
- water 4 steps to your west
- grass 1 steps to your west
- sand 4 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
18,"You took action make_iron_pickaxe.

You see:
- water 4 steps to your west
- grass 1 steps to your west
- sand 4 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,0.0
19,"You took action make_iron_sword.

You see:
- water 4 steps to your west
- grass 1 steps to your west
- sand 4 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
20,"You took action move_west.

You see:
- water 3 steps to your west
- grass 1 steps to your west
- sand 3 steps to your south-west
- tree 1 steps to your south

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
21,"You took action make_iron_pickaxe.

You see:
- water 3 steps to your west
- grass 1 steps to your west
- sand 3 steps to your south-west
- tree 1 steps to your south

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
22,"You took action move_west.

You see:
- water 2 steps to your west
- grass 1 steps to your west
- sand 2 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
23,"You took action make_iron_pickaxe.

You see:
- water 2 steps to your west
- grass 1 steps to your west
- sand 2 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,0.0
24,"You took action make_iron_sword.

You see:
- water 2 steps to your west
- grass 1 steps to your west
- sand 2 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
25,"You took action make_iron_pickaxe.

You see:
- water 2 steps to your west
- grass 1 steps to your west
- sand 2 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
26,"You took action make_iron_pickaxe.

You see:
- water 2 steps to your west
- grass 1 steps to your west
- sand 2 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
27,"You took action make_iron_pickaxe.

You see:
- water 2 steps to your west
- grass 1 steps to your west
- sand 2 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
28,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
29,"You took action make_wood_pickaxe.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
30,"You took action make_wood_pickaxe.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,0.0
31,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
32,"You took action make_iron_pickaxe.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
33,"You took action make_iron_pickaxe.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,0.0
34,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,0.0
35,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,0.0
36,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,0.0
37,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,0.0
38,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Place Table,0.0,False,0.0
39,"You took action place_table.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Do,1.0,False,1.0
40,"You took action do.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,1.0
41,"You took action make_iron_pickaxe.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,1.0
42,"You took action make_iron_pickaxe.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,1.0
43,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,1.0
44,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,1.0
45,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
46,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
47,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
48,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,1.0
49,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,1.0
50,"You took action make_iron_pickaxe.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 8/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,1.0
51,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
52,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
53,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
54,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,1.0
55,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,1.0
56,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
57,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
58,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
59,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 8/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
60,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 8/9
- energy: 8/9

You have nothing in your inventory.",Move West,0.0,False,1.0
61,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 8/9
- energy: 7/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
62,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 8/9
- energy: 7/9

You have nothing in your inventory.",Do,0.0,False,1.0
63,"You took action do.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 7/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
64,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 7/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,1.0
65,"You took action make_wood_pickaxe.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 7/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
66,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 7/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
67,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 7/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
68,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 7/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
69,"You took action make_iron_sword.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 7/9

You have nothing in your inventory.",Move West,0.0,False,1.0
70,"You took action move_west.

You see:
- water 1 steps to your west
- grass 1 steps to your north
- sand 1 steps to your south
- tree 2 steps to your north-east

You face water at your front.

Your status:
- health: 9/9
- food: 7/9
- drink: 9/9
- energy: 7/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,1.0
